Country,Signatures,Threshold,Percentage
Austria,"10,724","13,395",80.06%
Belgium,"47,459","14,805",320.56%
Bulgaria,"2,386","11,985",19.91%
Croatia,"8,574","8,460",101.35%
Cyprus,696,"4,230",16.45%
Czechia,"3,774","14,805",25.49%
Denmark,"8,587","9,870",87.00%
Estonia,"1,519","4,935",30.78%
Finland,"23,618","9,870",239.29%
France,"580,568","55,695","1,042.41%"
Germany,"92,739","67,680",137.03%
Greece,"4,127","14,805",27.88%
Hungary,"3,195","14,805",21.58%
Ireland,"18,503","9,165",201.89%
Italy,"60,701","53,580",113.29%
Latvia,"1,103","5,640",19.56%
Lithuania,"1,973","7,755",25.44%
Luxembourg,"2,091","4,230",49.43%
Malta,861,"4,230",20.35%
Netherlands,"38,112","20,445",186.41%
Poland,"9,039","36,660",24.66%
Portugal,"9,025","14,805",60.96%
Romania,"9,932","23,265",42.69%
Slovakia,"2,671","9,870",27.06%
Slovenia,"6,400","5,640",113.48%
Spain,"162,018","41,595",389.51%
Sweden,"17,668","14,805",119.34%
Total number of signatories,"1,128,063",,
